EPSPs recorded with voltage sensitive dye JPW1114 from the CA1 field of rat hippocampal slice,,,,,,,,,,,,,,,,,,,,,,
,,LM input,,,,,,,,,,,OR input,,,,,,,,,
,time,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7",,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7"

66,16.5,-0.003815101,0.004190479,-0.004779169,0.008706325,-0.00606084,0.000592613,-0.003757644,0.008620124,0.000831885,-0.000821673,,-0.002173541,-0.007258841,-0.004700478,0.001571656,0.000237312,0.008229782,-0.002190842,0.005608957,0.009290387,0.005487329
67,16.75,0.000298646,-0.005553305,-0.002491999,0.000258957,-0.002469052,-0.004500948,-0.001194256,-0.001478294,0.005195999,-0.007115394,,-0.003711722,0.005639112,-0.009618141,0.001659349,-0.004530721,0.003087148,0.013179197,-0.001243148,-0.001981412,0.003858785
68,17,-0.001191886,-0.000481058,-0.001509669,-0.00309201,0.002631228,0.000789436,-0.007699081,0.004943359,0.005141038,-0.002421119,,0.000566129,0.006469485,0.002060381,-0.001911719,-0.002649705,-0.005256743,0.010896642,0.001668049,0.007100865,0.005270914
69,17.25,0.000775378,-0.003874628,-0.009595326,-0.00141784,0.00891599,-0.006177999,0.000757431,0.003820876,0.006081338,-0.005454712,,-0.011426029,0.002974159,0.008115761,-0.000318058,0.004200642,-6.59329E-05,0.016662431,0.003172504,-0.00715452,-0.001311209
70,17.5,-0.00122415,0.004670667,-0.012085124,-0.007957829,0.003312489,-0.013651075,-0.002651076,0.001558884,-0.001616658,-0.004131547,,-0.006513723,-0.006019148,0.007448772,-0.001287196,0.000441951,0.002727773,0.007358941,-0.007244593,-0.007457669,-0.008067481
71,17.75,0.006216581,-0.00493587,-0.002654301,-0.000707223,-0.0039419,0.002904646,-0.003527319,0.000161912,0.000181661,-0.004820832,,-0.009500923,-0.003608707,0.000317205,0.002935544,0.001786293,-0.006164725,0.002054977,-0.007408816,0.002815842,-0.013509968
72,18,0.005909695,-0.003957737,-0.005173259,-0.010859659,0.008022351,0.003425088,0.001040727,0.004552639,-0.000759591,0.002220485,,-0.006354152,0.003113203,-0.003680143,0.002307553,-0.008734352,0.003945052,-0.001834664,-0.007540967,-0.000760952,-0.007843793
73,18.25,-0.009084132,0.001529937,0.004434015,-0.003395935,0.010432824,-0.003634104,-0.005688081,-0.000771493,-0.002403957,0.009365727,,0.002266429,0.001499441,-0.003988752,-0.000464595,-0.007368697,-0.001380646,0.002243709,-0.006147292,-0.001765469,-0.010396349
74,18.5,-0.006751327,0.003807896,-0.000960271,-0.005123121,0.000174725,0.000972949,0.00569196,-0.001220354,-0.000239283,0.00682518,,-0.00084469,-0.001932982,-0.004761523,-0.007627261,-0.009222551,0.003835017,0.002357531,-0.007369324,-0.00306255,-0.003068951
75,18.75,-0.011872937,-0.001440243,-0.009594065,-0.003059256,-0.006483975,0.006647574,-0.00457512,-0.004287457,-0.000143524,0.007679483,,-0.004851544,0.000496122,-0.003312546,-0.005335058,-0.001621191,-0.001986485,0.008591551,-0.004182447,0.006344073,-0.007297378
76,19,-0.004279606,-0.004556584,-0.009284429,-0.000277963,-0.007817918,-0.005514882,-0.000631462,0.003658211,0.000207951,0.004128536,,-0.011256749,-0.011676079,-0.000291589,-0.006132036,0.004951341,-0.004037691,0.003473032,-0.004333013,0.001034441,-0.009349174
77,19.25,0.003671172,0.000178198,0.001356098,0.011508849,-0.00396613,-0.007360907,-0.000990963,-0.001060795,0.002364316,0.010061499,,0.001052559,-0.002810153,0.001469019,-0.001562175,0.00883445,0.000747742,0.003753124,-0.003634414,0.004451005,-0.002654683
78,19.5,0.00051509,-0.001231275,-0.007292177,0.009192427,-0.000917246,-0.003524146,0.000357146,-0.002872662,5.56042E-05,0.004518857,,0.003192449,-0.00081255,0.009772147,0.001502901,0.007050621,-0.000134207,-0.002594204,-0.002060612,-0.002947331,-0.012883099
79,19.75,-0.006727015,-0.001982477,-0.004470199,0.006856142,-0.008303831,3.28076E-05,0.000532192,-0.008793959,0.002809351,0.002448121,,0.00010696,-0.002045436,-0.004075071,-0.002990832,0.006134199,-0.00133355,-0.000800708,0.001194619,0.004199142,0.001150401
80,20,-0.010325262,0.001424449,-0.009397764,-0.000923892,-0.00243969,-0.003455573,0.001300874,0.007069587,0.003778776,0.003290495,,0.001976771,-0.00031505,-0.008732513,-0.010043001,0.011858293,-0.001564234,-0.001215306,-0.004445932,0.009731231,-0.001711873
81,20.25,-0.005522963,0.000624747,-0.001656265,0.001913723,-0.00882445,-0.001943767,-0.008951785,-0.006578987,-0.002849078,-0.006108667,,0.000441707,0.000830692,0.000301064,-0.010178131,0.007209342,0.001353264,-0.000270908,0.002733817,-0.00147492,0.000237255
82,20.5,0.001134154,0.001317349,-0.000714135,-9.25326E-05,-0.00499575,-0.003608071,-0.001632566,0.003037916,-0.00832419,-0.007835792,,0.003553228,-9.07697E-05,0.003365455,0.003954424,0.000968011,-0.004888796,-0.005593681,-0.006376127,-0.000203425,-0.004883976
83,20.75,0.00278595,0.002554463,0.001998572,0.00194194,-0.002367452,-9.07281E-05,-0.004931134,-0.010219137,-0.002084435,-0.006334102,,0.009326408,-0.000510887,0.003499171,0.012416857,-0.008957784,-0.001108466,-0.006582894,-0.000748938,-0.00355696,-0.003052664
84,21,0.002457686,-0.005308192,0.001763508,0.004856796,-0.000717347,-0.005438555,0.001304974,-0.009177822,-0.010890823,-0.007833947,,-0.007713083,-0.001397793,-0.00459891,-0.002538396,-0.002629254,-0.003936918,-0.003180894,-0.005464839,0.005598601,-0.003732973
85,21.25,0.005177635,-0.008381006,0.007462777,0.006390351,-0.005316409,-0.003205763,-0.002098134,-0.003303606,-0.003550849,-0.001165446,,-0.011780839,-0.00595502,-0.002097704,-0.002721196,-0.002967746,-0.002441228,-0.008659822,-0.001530192,-0.003917337,-0.005444763
86,21.5,-0.000701808,-0.006357017,0.00433363,0.003032773,-0.007604329,-0.007382466,0.000951242,-0.000999627,0.000677042,-0.00682557,,-0.00873948,0.003237488,-0.002194854,-0.001400158,-0.000590844,0.007037215,-0.009237669,0.004840186,-0.004865813,0.000972356
87,21.75,0.005911578,-0.00691795,-0.005259677,0.00064883,-0.004564926,-0.00054571,-0.004140093,-0.003767765,-0.001961954,0.001213326,,0.0008285,-0.000743086,-0.006094016,0.002653281,0.003111738,-0.012325285,-0.00145302,0.002575157,-0.002888436,-0.003367366
